	x	v	cost	plan	vel	init_light
0	10.0	0.0	1.3590638733941853	[7.199999999999999, 7.249999999999999, 0.0, 0.0, 0.0]	[0.0, 12.0, 17.0, 17.0, 17.0, 17.0]	1
1	20.0	0.0	1.1972991675118323	[7.199999999999999, 7.249999999999999, 0.0, 0.0]	[0.0, 12.0, 17.0, 17.0, 17.0]	1
2	30.0	0.0	1.0194253663003663	[7.199999999999999, 2.5999999999999996, 0.0]	[0.0, 12.0, 14.0, 14.0]	1
3	40.0	0.0	0.8	[7.199999999999999, 0.0]	[0.0, 12.0, 12.0]	1
4	50.0	0.0	99999.0	[]	[]	1
5	10.0	1.0	1.3230262131377752	[7.1499999999999995, 7.249999999999999, 0.0, 0.0, 0.0]	[1.0, 12.0, 17.0, 17.0, 17.0, 17.0]	1
6	20.0	1.0	1.1612615072554222	[7.1499999999999995, 7.249999999999999, 0.0, 0.0]	[1.0, 12.0, 17.0, 17.0, 17.0]	1
7	30.0	1.0	0.9833877060439562	[7.1499999999999995, 2.5999999999999996, 0.0]	[1.0, 12.0, 14.0, 14.0]	1
8	40.0	1.0	0.7639623397435897	[7.1499999999999995, 0.0]	[1.0, 12.0, 12.0]	1
9	50.0	1.0	0.5347956730769231	[7.1499999999999995]	[1.0, 12.0]	1
10	10.0	2.0	1.290462682917995	[7.0, 7.249999999999999, 0.0, 0.0, 0.0]	[2.0, 12.0, 17.0, 17.0, 17.0, 17.0]	1
11	20.0	2.0	1.128697977035642	[7.0, 7.249999999999999, 0.0, 0.0]	[2.0, 12.0, 17.0, 17.0, 17.0]	1
12	30.0	2.0	0.950824175824176	[7.0, 2.5999999999999996, 0.0]	[2.0, 12.0, 14.0, 14.0]	1
13	40.0	2.0	0.7313988095238095	[7.0, 0.0]	[2.0, 12.0, 12.0]	1
14	50.0	2.0	0.5022321428571429	[7.0]	[2.0, 12.0]	1
15	10.0	3.0	1.225596438172043	[8.0, 7.75, 0.0, 0.0, 0.0]	[3.0, 13.0, 18.0, 18.0, 18.0, 18.0]	1
16	20.0	3.0	1.0693627450980392	[8.0, 6.0, 0.0, 0.0]	[3.0, 13.0, 17.0, 17.0, 17.0]	1
17	30.0	3.0	0.889976025132275	[8.0, 1.35, 0.0]	[3.0, 13.0, 14.0, 14.0]	1
18	40.0	3.0	0.6802884615384616	[8.0, 0.0]	[3.0, 13.0, 13.0]	1
19	50.0	3.0	0.47213541666666664	[6.75]	[3.0, 12.0]	1
20	10.0	4.0	1.1999070999367492	[7.6499999999999995, 7.75, 0.0, 0.0, 0.0]	[4.0, 13.0, 18.0, 18.0, 18.0, 18.0]	1
21	20.0	4.0	1.0436734068627451	[7.6499999999999995, 6.0, 0.0, 0.0]	[4.0, 13.0, 17.0, 17.0, 17.0]	1
22	30.0	4.0	0.864286686896981	[7.6499999999999995, 1.35, 0.0]	[4.0, 13.0, 14.0, 14.0]	1
23	40.0	4.0	0.6545991233031674	[7.6499999999999995, 0.0]	[4.0, 13.0, 13.0]	1
24	50.0	4.0	0.4430606617647059	[7.6499999999999995]	[4.0, 13.0]	1
25	10.0	5.0	1.1749019937275986	[7.199999999999999, 7.75, 0.0, 0.0, 0.0]	[5.0, 13.0, 18.0, 18.0, 18.0, 18.0]	1
26	20.0	5.0	1.0186683006535948	[7.199999999999999, 6.0, 0.0, 0.0]	[5.0, 13.0, 17.0, 17.0, 17.0]	1
27	30.0	5.0	0.8392815806878307	[7.199999999999999, 1.35, 0.0]	[5.0, 13.0, 14.0, 14.0]	1
28	40.0	5.0	0.6295940170940171	[7.199999999999999, 0.0]	[5.0, 13.0, 13.0]	1
29	50.0	5.0	0.4164981617647059	[5.95]	[5.0, 12.0]	1
