	x	v	cost	plan	vel	init_light
0	50.0	0.0	3.2611711369167384	[1.25]	[0.0, 5.0]	1
1	10.0	1.0	7.196188114268071	[1.75, 0.6499999999999999, 0.0, 0.0, 0.0]	[1.0, 6.0, 7.0, 7.0, 7.0, 7.0]	1
2	20.0	1.0	6.247566111827325	[1.75, 0.0, 0.0, 0.0]	[1.0, 6.0, 6.0, 6.0, 6.0]	1
3	30.0	1.0	5.159363960054291	[1.75, 0.0, 0.0]	[1.0, 6.0, 6.0, 6.0]	1
4	40.0	1.0	4.071161808281257	[1.75, 0.0]	[1.0, 6.0, 6.0]	1
5	50.0	1.0	2.8203219880308628	[1.2]	[1.0, 5.0]	1
6	10.0	2.0	6.861977109368342	[1.6, 0.6499999999999999, 0.0, 0.0, 0.0]	[2.0, 6.0, 7.0, 7.0, 7.0, 7.0]	1
7	20.0	2.0	5.913355106927596	[1.6, 0.0, 0.0, 0.0]	[2.0, 6.0, 6.0, 6.0, 6.0]	1
8	30.0	2.0	4.825152955154562	[1.6, 0.0, 0.0]	[2.0, 6.0, 6.0, 6.0]	1
9	40.0	2.0	3.7199644201275612	[1.05, 0.0]	[2.0, 5.0, 5.0]	1
10	50.0	2.0	2.4267556114366347	[1.05]	[2.0, 5.0]	1
11	10.0	3.0	6.514395394924337	[1.3499999999999999, 0.6499999999999999, 0.0, 0.0, 0.0]	[3.0, 6.0, 7.0, 7.0, 7.0, 7.0]	1
12	20.0	3.0	5.565773392483591	[1.3499999999999999, 0.0, 0.0, 0.0]	[3.0, 6.0, 6.0, 6.0, 6.0]	1
13	30.0	3.0	4.4775712407105575	[1.3499999999999999, 0.0, 0.0]	[3.0, 6.0, 6.0, 6.0]	1
14	40.0	3.0	3.3397911320248452	[0.8, 0.0]	[3.0, 5.0, 5.0]	1
15	50.0	3.0	2.003783453964864	[0.35]	[3.0, 4.0]	1
16	10.0	4.0	6.1123315745387705	[1.0, 0.6499999999999999, 0.0, 0.0, 0.0]	[4.0, 6.0, 7.0, 7.0, 7.0, 7.0]	1
17	20.0	4.0	5.163709572098025	[1.0, 0.0, 0.0, 0.0]	[4.0, 6.0, 6.0, 6.0, 6.0]	1
18	30.0	4.0	4.075507420324991	[1.0, 0.0, 0.0]	[4.0, 6.0, 6.0, 6.0]	1
19	40.0	4.0	2.9651513640277543	[0.44999999999999996, 0.0]	[4.0, 5.0, 5.0]	1
20	50.0	4.0	1.6055030234910257	[0.0]	[4.0, 4.0]	1
21	10.0	5.0	5.656408205719857	[1.2, 0.0, 0.0, 0.0, 0.0]	[5.0, 7.0, 7.0, 7.0, 7.0, 7.0]	1
22	20.0	5.0	4.716443376657915	[1.2, 0.0, 0.0, 0.0]	[5.0, 7.0, 7.0, 7.0, 7.0]	1
23	30.0	5.0	3.6623297443692797	[0.55, 0.0, 0.0]	[5.0, 6.0, 6.0, 6.0]	1
24	40.0	5.0	2.5741275925962457	[0.55, 0.0]	[5.0, 6.0, 6.0]	1
25	50.0	5.0	1.2932088086909266	[0.0]	[5.0, 5.0]	1
26	10.0	6.0	5.153193286821791	[0.6499999999999999, 0.0, 0.0, 0.0, 0.0]	[6.0, 7.0, 7.0, 7.0, 7.0, 7.0]	1
27	20.0	6.0	4.213228457759848	[0.6499999999999999, 0.0, 0.0, 0.0]	[6.0, 7.0, 7.0, 7.0, 7.0]	1
28	30.0	6.0	3.264606455319101	[0.0, 0.0, 0.0]	[6.0, 6.0, 6.0, 6.0]	1
29	40.0	6.0	2.1764043035460676	[0.0, 0.0]	[6.0, 6.0, 6.0]	1
30	50.0	6.0	1.0882021517730338	[0.0]	[6.0, 6.0]	1
31	10.0	7.0	4.685226245464305	[0.75, 0.0, 0.0, 0.0, 0.0]	[7.0, 8.0, 8.0, 8.0, 8.0, 8.0]	1
32	20.0	7.0	3.759859316247772	[0.0, 0.0, 0.0, 0.0]	[7.0, 7.0, 7.0, 7.0, 7.0]	1
33	30.0	7.0	2.819894487185829	[0.0, 0.0, 0.0]	[7.0, 7.0, 7.0, 7.0]	1
34	40.0	7.0	1.879929658123886	[0.0, 0.0]	[7.0, 7.0, 7.0]	1
35	50.0	7.0	0.939964829061943	[0.0]	[7.0, 7.0]	1
36	10.0	8.0	4.14884768508469	[0.0, 0.0, 0.0, 0.0, 0.0]	[8.0, 8.0, 8.0, 8.0, 8.0, 8.0]	1
37	20.0	8.0	3.3190781480677525	[0.0, 0.0, 0.0, 0.0]	[8.0, 8.0, 8.0, 8.0, 8.0]	1
38	30.0	8.0	2.4893086110508142	[0.0, 0.0, 0.0]	[8.0, 8.0, 8.0, 8.0]	1
39	40.0	8.0	1.6595390740338762	[0.0, 0.0]	[8.0, 8.0, 8.0]	1
40	50.0	8.0	0.8297695370169381	[0.0]	[8.0, 8.0]	1
41	10.0	9.0	3.7431230051078526	[0.0, 0.0, 0.0, 0.0, -0.85]	[9.0, 9.0, 9.0, 9.0, 9.0, 8.0]	1
42	20.0	9.0	2.991295503830889	[0.0, 0.0, 0.0, -0.85]	[9.0, 9.0, 9.0, 9.0, 8.0]	1
43	30.0	9.0	2.2394680025539255	[0.0, 0.0, -0.85]	[9.0, 9.0, 9.0, 8.0]	1
44	40.0	9.0	1.4876405012769625	[0.0, -0.85]	[9.0, 9.0, 8.0]	1
45	50.0	9.0	0.7358129999999989	[-0.85]	[9.0, 8.0]	1
46	10.0	10.0	3.3789991811437874	[0.0, 0.0, 0.0, 0.0, -0.9500000000000001]	[10.0, 10.0, 10.0, 10.0, 10.0, 9.0]	1
47	20.0	10.0	2.69933563585784	[0.0, 0.0, 0.0, -0.9500000000000001]	[10.0, 10.0, 10.0, 10.0, 9.0]	1
48	30.0	10.0	2.0196720905718935	[0.0, 0.0, -0.9500000000000001]	[10.0, 10.0, 10.0, 9.0]	1
49	40.0	10.0	1.3400085452859463	[0.0, -0.9500000000000001]	[10.0, 10.0, 9.0]	1
50	50.0	10.0	0.6603449999999992	[-0.9500000000000001]	[10.0, 9.0]	1
51	10.0	11.0	3.1063772201435493	[0.0, 0.0, 0.0, 0.0, -1.05]	[11.0, 11.0, 11.0, 11.0, 11.0, 10.0]	1
52	20.0	11.0	2.479146665107662	[0.0, 0.0, 0.0, -1.05]	[11.0, 11.0, 11.0, 11.0, 10.0]	1
53	30.0	11.0	1.8519161100717745	[0.0, 0.0, -1.05]	[11.0, 11.0, 11.0, 10.0]	1
54	40.0	11.0	1.2246855550358868	[0.0, -1.05]	[11.0, 11.0, 10.0]	1
55	50.0	11.0	0.5974549999999993	[-1.05]	[11.0, 10.0]	1
56	10.0	12.0	2.893573040143014	[0.0, 0.0, 0.0, 0.0, -1.1500000000000001]	[12.0, 12.0, 12.0, 12.0, 12.0, 11.0]	1
57	20.0	12.0	2.3053932801072605	[0.0, 0.0, 0.0, -1.1500000000000001]	[12.0, 12.0, 12.0, 12.0, 11.0]	1
58	30.0	12.0	1.7172135200715068	[0.0, 0.0, -1.1500000000000001]	[12.0, 12.0, 12.0, 11.0]	1
59	40.0	12.0	1.1290337600357532	[0.0, -1.1500000000000001]	[12.0, 12.0, 11.0]	1
60	50.0	12.0	0.5408539999999994	[-1.1500000000000001]	[12.0, 11.0]	1
61	10.0	13.0	2.6898417637674084	[0.0, 0.0, 0.0, -1.25, -1.1500000000000001]	[13.0, 13.0, 13.0, 13.0, 12.0, 11.0]	1
62	20.0	13.0	2.1412191758449386	[0.0, 0.0, -1.25, -1.1500000000000001]	[13.0, 13.0, 13.0, 12.0, 11.0]	1
63	30.0	13.0	1.5925965879224688	[0.0, -1.25, -1.1500000000000001]	[13.0, 13.0, 12.0, 11.0]	1
64	40.0	13.0	1.0439739999999988	[-1.25, -1.1500000000000001]	[13.0, 12.0, 11.0]	1
65	50.0	13.0	0.5031199999999995	[-1.25]	[13.0, 12.0]	1
66	10.0	14.0	2.5378135759077822	[0.0, 0.0, 0.0, -1.35, -1.25]	[14.0, 14.0, 14.0, 14.0, 13.0, 12.0]	1
67	20.0	14.0	2.0147110506051877	[0.0, 0.0, -1.35, -1.25]	[14.0, 14.0, 14.0, 13.0, 12.0]	1
68	30.0	14.0	1.4916085253025932	[0.0, -1.35, -1.25]	[14.0, 14.0, 13.0, 12.0]	1
69	40.0	14.0	0.9685059999999989	[-1.35, -1.25]	[14.0, 13.0, 12.0]	1
70	50.0	14.0	0.4653859999999994	[-1.35]	[14.0, 13.0]	1
71	10.0	15.0	2.3850116953368214	[0.0, 0.0, 0.0, -1.45, -1.35]	[15.0, 15.0, 15.0, 15.0, 14.0, 13.0]	1
72	20.0	15.0	1.8876871302245473	[0.0, 0.0, -1.45, -1.35]	[15.0, 15.0, 15.0, 14.0, 13.0]	1
73	30.0	15.0	1.390362565112273	[0.0, -1.45, -1.35]	[15.0, 15.0, 14.0, 13.0]	1
74	40.0	15.0	0.8930379999999989	[-1.45, -1.35]	[15.0, 14.0, 13.0]	1
75	50.0	15.0	0.4276519999999995	[-1.45]	[15.0, 14.0]	1
76	10.0	16.0	2.253261346020121	[0.0, 0.0, -1.55, -1.45, -1.35]	[16.0, 16.0, 16.0, 15.0, 14.0, 13.0]	1
77	20.0	16.0	1.7743976730100597	[0.0, -1.55, -1.45, -1.35]	[16.0, 16.0, 15.0, 14.0, 13.0]	1
78	30.0	16.0	1.2955339999999984	[-1.55, -1.45, -1.35]	[16.0, 15.0, 14.0, 13.0]	1
79	40.0	16.0	0.830147999999999	[-1.55, -1.45]	[16.0, 15.0, 14.0]	1
80	50.0	16.0	0.4024959999999996	[-1.55]	[16.0, 15.0]	1
81	10.0	17.0	2.127968570233138	[0.0, 0.0, -1.65, -1.55, -1.45]	[17.0, 17.0, 17.0, 16.0, 15.0, 14.0]	1
82	20.0	17.0	1.6677282851165685	[0.0, -1.65, -1.55, -1.45]	[17.0, 17.0, 16.0, 15.0, 14.0]	1
83	30.0	17.0	1.2074879999999988	[-1.65, -1.55, -1.45]	[17.0, 16.0, 15.0, 14.0]	1
84	40.0	17.0	0.7798359999999992	[-1.65, -1.55]	[17.0, 16.0, 15.0]	1
85	50.0	17.0	0.3773399999999996	[-1.65]	[17.0, 16.0]	1
86	10.0	18.0	2.015451411157845	[0.0, -1.75, -1.65, -1.55, -1.45]	[18.0, 18.0, 17.0, 16.0, 15.0, 14.0]	1
87	20.0	18.0	1.5659609999999984	[-1.75, -1.65, -1.55, -1.45]	[18.0, 17.0, 16.0, 15.0, 14.0]	1
