	cost	init_light	plan	v	vel	x
0	3.2611711369167384	1	[1.25]	0.0	[0.0, 5.0]	50.0
1	7.196188114268071	1	[1.75, 0.64999999999999991, 0.0, 0.0, 0.0]	1.0	[1.0, 6.0, 7.0, 7.0, 7.0, 7.0]	10.0
2	6.247566111827325	1	[1.75, 0.0, 0.0, 0.0]	1.0	[1.0, 6.0, 6.0, 6.0, 6.0]	20.0
3	5.159363960054291	1	[1.75, 0.0, 0.0]	1.0	[1.0, 6.0, 6.0, 6.0]	30.0
4	4.071161808281257	1	[1.75, 0.0]	1.0	[1.0, 6.0, 6.0]	40.0
5	2.8203219880308628	1	[1.2]	1.0	[1.0, 5.0]	50.0
6	6.861977109368342	1	[1.6000000000000001, 0.64999999999999991, 0.0, 0.0, 0.0]	2.0	[2.0, 6.0, 7.0, 7.0, 7.0, 7.0]	10.0
7	5.913355106927596	1	[1.6000000000000001, 0.0, 0.0, 0.0]	2.0	[2.0, 6.0, 6.0, 6.0, 6.0]	20.0
8	4.825152955154562	1	[1.6000000000000001, 0.0, 0.0]	2.0	[2.0, 6.0, 6.0, 6.0]	30.0
9	3.7199644201275612	1	[1.05, 0.0]	2.0	[2.0, 5.0, 5.0]	40.0
10	2.4267556114366347	1	[1.05]	2.0	[2.0, 5.0]	50.0
11	6.514395394924337	1	[1.3499999999999999, 0.64999999999999991, 0.0, 0.0, 0.0]	3.0	[3.0, 6.0, 7.0, 7.0, 7.0, 7.0]	10.0
12	5.565773392483591	1	[1.3499999999999999, 0.0, 0.0, 0.0]	3.0	[3.0, 6.0, 6.0, 6.0, 6.0]	20.0
13	4.4775712407105575	1	[1.3499999999999999, 0.0, 0.0]	3.0	[3.0, 6.0, 6.0, 6.0]	30.0
14	3.3397911320248452	1	[0.80000000000000004, 0.0]	3.0	[3.0, 5.0, 5.0]	40.0
15	2.003783453964864	1	[0.34999999999999998]	3.0	[3.0, 4.0]	50.0
16	6.1123315745387705	1	[1.0, 0.64999999999999991, 0.0, 0.0, 0.0]	4.0	[4.0, 6.0, 7.0, 7.0, 7.0, 7.0]	10.0
17	5.163709572098025	1	[1.0, 0.0, 0.0, 0.0]	4.0	[4.0, 6.0, 6.0, 6.0, 6.0]	20.0
18	4.075507420324991	1	[1.0, 0.0, 0.0]	4.0	[4.0, 6.0, 6.0, 6.0]	30.0
19	2.9651513640277543	1	[0.44999999999999996, 0.0]	4.0	[4.0, 5.0, 5.0]	40.0
20	1.6055030234910257	1	[0.0]	4.0	[4.0, 4.0]	50.0
21	5.656408205719857	1	[1.2, 0.0, 0.0, 0.0, 0.0]	5.0	[5.0, 7.0, 7.0, 7.0, 7.0, 7.0]	10.0
22	4.716443376657915	1	[1.2, 0.0, 0.0, 0.0]	5.0	[5.0, 7.0, 7.0, 7.0, 7.0]	20.0
23	3.6623297443692797	1	[0.55000000000000004, 0.0, 0.0]	5.0	[5.0, 6.0, 6.0, 6.0]	30.0
24	2.5741275925962457	1	[0.55000000000000004, 0.0]	5.0	[5.0, 6.0, 6.0]	40.0
25	1.2932088086909266	1	[0.0]	5.0	[5.0, 5.0]	50.0
26	5.153193286821791	1	[0.64999999999999991, 0.0, 0.0, 0.0, 0.0]	6.0	[6.0, 7.0, 7.0, 7.0, 7.0, 7.0]	10.0
27	4.213228457759848	1	[0.64999999999999991, 0.0, 0.0, 0.0]	6.0	[6.0, 7.0, 7.0, 7.0, 7.0]	20.0
28	3.264606455319101	1	[0.0, 0.0, 0.0]	6.0	[6.0, 6.0, 6.0, 6.0]	30.0
