	best_action	h	init_light	prob_change	t	v	x
0	0.0	1.3400085452859463	1	1.0	19.869999999999997	10.0	40.0
1	0.0	1.2246855550358868	1	1.0	19.759999999999998	11.0	40.0
2	0.0	1.1290337600357532	1	1.0	19.659999999999997	12.0	40.0
3	-1.25	1.0439739999999988	1	1.0	19.58	13.0	40.0
4	0.44999999999999996	2.9651513640277543	1	1.0	19.83	4.0	40.0
5	0.55	2.5741275925962457	1	1.0	19.549999999999997	5.0	40.0
6	0.0	2.1764043035460676	1	1.0	19.33	6.0	40.0
7	0.0	1.879929658123886	1	1.0	19.15	7.0	40.0
8	0.0	1.6595390740338762	1	1.0	19.0	8.0	40.0
9	0.0	1.4876405012769625	1	0.9823008849557501	18.869999999999997	9.0	40.0
10	0.0	1.3400085452859463	1	0.8064516129032245	18.759999999999998	10.0	40.0
11	0.0	1.2246855550358868	1	0.6791044776119386	18.659999999999997	11.0	40.0
12	0.0	1.1290337600357532	1	0.5845070422535203	18.58	12.0	40.0
13	-1.25	1.0439739999999988	1	0.5369127516778517	18.509999999999998	13.0	40.0
14	1.75	4.071161808281257	1	1.0	19.990000000000002	1.0	40.0
15	1.05	3.7199644201275612	1	1.0	19.52	2.0	40.0
16	0.8	3.3397911320248452	1	1.0	19.16	3.0	40.0
17	0.44999999999999996	2.9651513640277543	1	1.0	18.88	4.0	40.0
18	0.55	2.5741275925962457	1	1.0	18.66	5.0	40.0
19	0.0	2.1764043035460676	1	1.0	18.48	6.0	40.0
20	0.0	1.8799296581238858	1	0.8562874251496997	18.33	7.0	40.0
21	0.0	1.6595390740338765	1	0.6944444444444442	18.2	8.0	40.0
22	0.0	1.4876405012769625	1	0.581151832460733	18.09	9.0	40.0
23	0.0	1.3400085452859463	1	0.4975124378109458	17.990000000000002	10.0	40.0
24	0.0	1.2246855550358868	1	0.43540669856459335	17.91	11.0	40.0
25	0.0	1.1290337600357532	1	0.3842592592592592	17.84	12.0	40.0
26	-1.25	1.0439739999999988	1	0.358744394618834	17.77	13.0	40.0
27	1.75	4.071161808281257	1	1.0	19.05	1.0	40.0
28	1.05	3.7199644201275612	1	1.0	18.69	2.0	40.0
29	0.8	3.3397911320248452	1	1.0	18.41	3.0	40.0
30	0.44999999999999996	2.9651513640277543	1	1.0	18.19	4.0	40.0
31	0.55	2.5741275925962457	1	0.9145728643216088	18.01	5.0	40.0
32	0.0	2.1764043035460676	1	0.7803738317757007	17.86	6.0	40.0
33	0.0	1.8799296581238858	1	0.629955947136564	17.73	7.0	40.0
34	0.0	1.6595390740338762	1	0.5252100840336137	17.62	8.0	40.0
35	0.0	1.4876405012769625	1	0.4475806451612909	17.520000000000003	9.0	40.0
36	0.0	1.3400085452859463	1	0.3906250000000002	17.44	10.0	40.0
37	0.0	1.2246855550358868	1	0.34600760456273777	17.37	11.0	40.0
38	0.0	1.1290337600357532	1	0.30740740740740746	17.3	12.0	40.0
39	-1.25	1.0439739999999988	1	0.28985507246376835	17.240000000000002	13.0	40.0
40	-1.35	0.9685059999999989	1	0.26334519572953746	17.19	14.0	40.0
41	1.75	4.071161808281257	1	1.0	18.33	1.0	40.0
42	1.05	3.7199644201275612	1	1.0	18.05	2.0	40.0
43	0.8	3.3397911320248452	1	1.0	17.83	3.0	40.0
44	0.44999999999999996	2.9651513640277543	1	0.9446808510638293	17.65	4.0	40.0
45	0.55	2.5741275925962457	1	0.728	17.5	5.0	40.0
46	0.0	2.1764043035460676	1	0.6349809885931561	17.37	6.0	40.0
47	0.0	1.879929658123886	1	0.5218978102189784	17.26	7.0	40.0
48	0.0	1.6595390740338765	1	0.44014084507042256	17.16	8.0	40.0
49	0.0	1.4876405012769625	1	0.38013698630136966	17.08	9.0	40.0
50	0.0	1.3400085452859463	1	0.3344481605351172	17.01	10.0	40.0
51	0.0	1.224685555035887	1	0.2973856209150328	16.94	11.0	40.0
52	0.0	1.1290337600357532	1	0.2660256410256409	16.88	12.0	40.0
53	-1.25	1.0439739999999988	1	0.25236593059936896	16.83	13.0	40.0
54	-1.35	0.9685059999999989	1	0.22981366459627336	16.78	14.0	40.0
55	1.75	4.071161808281257	1	1.0	17.77	1.0	40.0
56	1.05	3.7199644201275612	1	1.0	17.55	2.0	40.0
57	0.8	3.3397911320248452	1	0.9505703422053235	17.37	3.0	40.0
58	0.44999999999999996	2.9651513640277543	1	0.7985611510791364	17.22	4.0	40.0
59	0.55	2.5741275925962457	1	0.6254295532646048	17.09	5.0	40.0
60	0.0	2.1764043035460676	1	0.5529801324503312	16.98	6.0	40.0
61	0.0	1.8799296581238862	1	0.4583333333333337	16.880000000000003	7.0	40.0
62	0.0	1.659539074033876	1	0.3906250000000001	16.8	8.0	40.0
63	0.0	1.4876405012769625	1	0.33944954128440374	16.73	9.0	40.0
64	0.0	1.3400085452859463	1	0.29940119760479045	16.66	10.0	40.0
65	0.0	1.2246855550358866	1	0.2676470588235295	16.6	11.0	40.0
66	0.0	1.1290337600357532	1	0.24057971014492757	16.55	12.0	40.0
67	-1.25	1.0439739999999988	1	0.2285714285714286	16.5	13.0	40.0
68	-1.35	0.9685059999999989	1	0.20903954802259891	16.46	14.0	40.0
69	1.75	4.071161808281257	1	1.0	17.33	1.0	40.0
70	1.05	3.7199644201275612	1	1.0	17.15	2.0	40.0
71	0.8	3.3397911320248452	1	0.8333333333333334	17.0	3.0	40.0
72	0.44999999999999996	2.9651513640277543	1	0.7092651757188502	16.87	4.0	40.0
73	0.55	2.5741275925962457	1	0.5617283950617287	16.76	5.0	40.0
74	0.0	2.1764043035460676	1	0.5	16.66	6.0	40.0
75	0.0	1.8799296581238858	1	0.41812865497076	16.58	7.0	40.0
76	0.0	1.6595390740338762	1	0.358166189111748	16.51	8.0	40.0
77	0.0	1.4876405012769625	1	0.3117977528089889	16.44	9.0	40.0
78	0.0	1.3400085452859463	1	0.27624309392265184	16.38	10.0	40.0
79	0.0	1.2246855550358868	1	0.24795640326975465	16.33	11.0	40.0
