	cost	init_light	plan	v	vel	x
0	7.495326518623778	1	[2.4499999999999997, 0.0, 0.0, 0.0, 0.0]	0.0	[0.0, 6.9999999999999991, 6.9999999999999991, 6.9999999999999991, 6.9999999999999991, 6.9999999999999991]	10.0
1	6.555361689561835	1	[2.4499999999999997, 0.0, 0.0, 0.0]	0.0	[0.0, 6.9999999999999991, 6.9999999999999991, 6.9999999999999991, 6.9999999999999991]	20.0
2	5.497438476513572	1	[1.7999999999999998, 0.0, 0.0]	0.0	[0.0, 6.0, 6.0, 6.0]	30.0
3	4.409236324740538	1	[1.7999999999999998, 0.0]	0.0	[0.0, 6.0, 6.0]	40.0
4	3.2611711369167384	1	[1.25]	0.0	[0.0, 5.0]	50.0
5	7.196188114268071	1	[1.75, 0.64999999999999991, 0.0, 0.0, 0.0]	1.0	[1.0, 6.0, 7.0, 7.0, 7.0, 7.0]	10.0
6	6.247566111827325	1	[1.75, 0.0, 0.0, 0.0]	1.0	[1.0, 6.0, 6.0, 6.0, 6.0]	20.0
7	5.159363960054291	1	[1.75, 0.0, 0.0]	1.0	[1.0, 6.0, 6.0, 6.0]	30.0
8	4.071161808281257	1	[1.75, 0.0]	1.0	[1.0, 6.0, 6.0]	40.0
9	2.8203219880308628	1	[1.2]	1.0	[1.0, 5.0]	50.0
10	6.861977109368342	1	[1.6000000000000001, 0.64999999999999991, 0.0, 0.0, 0.0]	2.0	[2.0, 6.0, 7.0, 7.0, 7.0, 7.0]	10.0
11	5.913355106927596	1	[1.6000000000000001, 0.0, 0.0, 0.0]	2.0	[2.0, 6.0, 6.0, 6.0, 6.0]	20.0
12	4.825152955154562	1	[1.6000000000000001, 0.0, 0.0]	2.0	[2.0, 6.0, 6.0, 6.0]	30.0
13	3.7199644201275612	1	[1.05, 0.0]	2.0	[2.0, 5.0, 5.0]	40.0
14	2.4267556114366347	1	[1.05]	2.0	[2.0, 5.0]	50.0
15	6.514395394924337	1	[1.3499999999999999, 0.64999999999999991, 0.0, 0.0, 0.0]	3.0	[3.0, 6.0, 7.0, 7.0, 7.0, 7.0]	10.0
16	5.565773392483591	1	[1.3499999999999999, 0.0, 0.0, 0.0]	3.0	[3.0, 6.0, 6.0, 6.0, 6.0]	20.0
17	4.4775712407105575	1	[1.3499999999999999, 0.0, 0.0]	3.0	[3.0, 6.0, 6.0, 6.0]	30.0
18	3.3397911320248452	1	[0.80000000000000004, 0.0]	3.0	[3.0, 5.0, 5.0]	40.0
19	2.003783453964864	1	[0.34999999999999998]	3.0	[3.0, 4.0]	50.0
20	6.1123315745387705	1	[1.0, 0.64999999999999991, 0.0, 0.0, 0.0]	4.0	[4.0, 6.0, 7.0, 7.0, 7.0, 7.0]	10.0
21	5.163709572098025	1	[1.0, 0.0, 0.0, 0.0]	4.0	[4.0, 6.0, 6.0, 6.0, 6.0]	20.0
22	4.075507420324991	1	[1.0, 0.0, 0.0]	4.0	[4.0, 6.0, 6.0, 6.0]	30.0
23	2.9651513640277543	1	[0.44999999999999996, 0.0]	4.0	[4.0, 5.0, 5.0]	40.0
24	1.6055030234910257	1	[0.0]	4.0	[4.0, 4.0]	50.0
25	5.656408205719857	1	[1.2, 0.0, 0.0, 0.0, 0.0]	5.0	[5.0, 7.0, 7.0, 7.0, 7.0, 7.0]	10.0
26	4.716443376657915	1	[1.2, 0.0, 0.0, 0.0]	5.0	[5.0, 7.0, 7.0, 7.0, 7.0]	20.0
27	3.6623297443692797	1	[0.55000000000000004, 0.0, 0.0]	5.0	[5.0, 6.0, 6.0, 6.0]	30.0
28	2.5741275925962457	1	[0.55000000000000004, 0.0]	5.0	[5.0, 6.0, 6.0]	40.0
29	1.2932088086909266	1	[0.0]	5.0	[5.0, 5.0]	50.0
30	5.153193286821791	1	[0.64999999999999991, 0.0, 0.0, 0.0, 0.0]	6.0	[6.0, 7.0, 7.0, 7.0, 7.0, 7.0]	10.0
31	4.213228457759848	1	[0.64999999999999991, 0.0, 0.0, 0.0]	6.0	[6.0, 7.0, 7.0, 7.0, 7.0]	20.0
32	3.264606455319101	1	[0.0, 0.0, 0.0]	6.0	[6.0, 6.0, 6.0, 6.0]	30.0
33	2.1764043035460676	1	[0.0, 0.0]	6.0	[6.0, 6.0, 6.0]	40.0
34	1.0882021517730338	1	[0.0]	6.0	[6.0, 6.0]	50.0
35	4.685226245464305	1	[0.75, 0.0, 0.0, 0.0, 0.0]	7.0	[7.0, 8.0, 8.0, 8.0, 8.0, 8.0]	10.0
36	3.759859316247772	1	[0.0, 0.0, 0.0, 0.0]	7.0	[7.0, 7.0, 7.0, 7.0, 7.0]	20.0
37	2.819894487185829	1	[0.0, 0.0, 0.0]	7.0	[7.0, 7.0, 7.0, 7.0]	30.0
38	1.879929658123886	1	[0.0, 0.0]	7.0	[7.0, 7.0, 7.0]	40.0
39	0.939964829061943	1	[0.0]	7.0	[7.0, 7.0]	50.0
40	4.14884768508469	1	[0.0, 0.0, 0.0, 0.0, 0.0]	8.0	[8.0, 8.0, 8.0, 8.0, 8.0, 8.0]	10.0
41	3.3190781480677525	1	[0.0, 0.0, 0.0, 0.0]	8.0	[8.0, 8.0, 8.0, 8.0, 8.0]	20.0
42	2.4893086110508142	1	[0.0, 0.0, 0.0]	8.0	[8.0, 8.0, 8.0, 8.0]	30.0
43	1.6595390740338762	1	[0.0, 0.0]	8.0	[8.0, 8.0, 8.0]	40.0
44	0.8297695370169381	1	[0.0]	8.0	[8.0, 8.0]	50.0
45	3.7431230051078526	1	[0.0, 0.0, 0.0, 0.0, -0.84999999999999998]	9.0	[9.0, 9.0, 9.0, 9.0, 9.0, 8.0]	10.0
46	2.991295503830889	1	[0.0, 0.0, 0.0, -0.84999999999999998]	9.0	[9.0, 9.0, 9.0, 9.0, 8.0]	20.0
47	2.2394680025539255	1	[0.0, 0.0, -0.84999999999999998]	9.0	[9.0, 9.0, 9.0, 8.0]	30.0
48	1.4876405012769625	1	[0.0, -0.84999999999999998]	9.0	[9.0, 9.0, 8.0]	40.0
49	0.7358129999999989	1	[-0.84999999999999998]	9.0	[9.0, 8.0]	50.0
50	3.3789991811437874	1	[0.0, 0.0, 0.0, 0.0, -0.95000000000000007]	10.0	[10.0, 10.0, 10.0, 10.0, 10.0, 9.0]	10.0
51	2.69933563585784	1	[0.0, 0.0, 0.0, -0.95000000000000007]	10.0	[10.0, 10.0, 10.0, 10.0, 9.0]	20.0
52	2.0196720905718935	1	[0.0, 0.0, -0.95000000000000007]	10.0	[10.0, 10.0, 10.0, 9.0]	30.0
53	1.3400085452859463	1	[0.0, -0.95000000000000007]	10.0	[10.0, 10.0, 9.0]	40.0
54	0.6603449999999992	1	[-0.95000000000000007]	10.0	[10.0, 9.0]	50.0
55	3.1063772201435493	1	[0.0, 0.0, 0.0, 0.0, -1.05]	11.0	[11.0, 11.0, 11.0, 11.0, 11.0, 10.0]	10.0
56	2.479146665107662	1	[0.0, 0.0, 0.0, -1.05]	11.0	[11.0, 11.0, 11.0, 11.0, 10.0]	20.0
57	1.8519161100717745	1	[0.0, 0.0, -1.05]	11.0	[11.0, 11.0, 11.0, 10.0]	30.0
58	1.2246855550358868	1	[0.0, -1.05]	11.0	[11.0, 11.0, 10.0]	40.0
59	0.5974549999999993	1	[-1.05]	11.0	[11.0, 10.0]	50.0
60	2.893573040143014	1	[0.0, 0.0, 0.0, 0.0, -1.1500000000000001]	12.0	[12.0, 12.0, 12.0, 12.0, 12.0, 11.0]	10.0
61	2.3053932801072605	1	[0.0, 0.0, 0.0, -1.1500000000000001]	12.0	[12.0, 12.0, 12.0, 12.0, 11.0]	20.0
62	1.7172135200715068	1	[0.0, 0.0, -1.1500000000000001]	12.0	[12.0, 12.0, 12.0, 11.0]	30.0
63	1.1290337600357532	1	[0.0, -1.1500000000000001]	12.0	[12.0, 12.0, 11.0]	40.0
