	best_action	h	init_light	prob_change	t	v	x
0	0.0	1.879929658123886	1	0.06479383778885364	2.93	7.0	40.0
1	0.0	1.6595390740338762	1	0.056509945750452074	2.88	8.0	40.0
2	0.0	1.4876405012769625	1	0.05006765899864682	2.83	9.0	40.0
3	0.0	1.3400085452859463	1	0.04502476361999099	2.79	10.0	40.0
4	0.0	1.2246855550358868	1	0.04089887640449438	2.75	11.0	40.0
5	0.0	1.1290337600357532	1	0.037236428891879766	2.71	12.0	40.0
6	-1.25	1.0439739999999988	1	0.035842293906810034	2.68	13.0	40.0
7	-1.35	0.9685059999999989	1	0.033109619686800894	2.6500000000000004	14.0	40.0
8	-1.45	0.8930379999999989	1	0.030831099195710455	2.62	15.0	40.0
9	-1.55	0.830147999999999	1	0.029004908522980814	2.59	16.0	40.0
10	-1.65	0.7798359999999992	1	0.02719572001783326	2.5700000000000003	17.0	40.0
11	0.0	1.4876405012769625	1	0.04991007194244605	2.7600000000000002	9.0	40.0
12	0.0	1.3400085452859463	1	0.04488330341113106	2.72	10.0	40.0
13	0.0	1.2246855550358866	1	0.04077060931899642	2.68	11.0	40.0
14	0.0	1.1290337600357532	1	0.03713646532438478	2.6500000000000004	12.0	40.0
15	-1.25	1.0439739999999988	1	0.03574620196604111	2.62	13.0	40.0
16	-1.35	0.9685059999999989	1	0.03302097278000892	2.59	14.0	40.0
17	-1.45	0.8930379999999989	1	0.030748663101604273	2.56	15.0	40.0
18	-1.55	0.830147999999999	1	0.02894033837934105	2.54	16.0	40.0
19	-1.65	0.7798359999999992	1	0.027135231316725978	2.52	17.0	40.0
20	-1.75	0.7358129999999993	1	0.025333333333333333	2.5	18.0	40.0
21	0.0	1.3400085452859463	1	0.044762757385854966	2.66	10.0	40.0
22	0.0	1.2246855550358868	1	0.04067948144836835	2.63	11.0	40.0
23	0.0	1.1290337600357532	1	0.03705357142857143	2.6	12.0	40.0
24	-1.25	1.0439739999999988	1	0.03566651805617477	2.5700000000000003	13.0	40.0
25	-1.35	0.9685059999999989	1	0.03294746215494212	2.54	14.0	40.0
26	-1.45	0.8930379999999989	1	0.03069395017793594	2.52	15.0	40.0
27	-1.55	0.830147999999999	1	0.02888888888888889	2.5	16.0	40.0
28	-1.65	0.7798359999999992	1	0.02708703374777975	2.48	17.0	40.0
29	-1.75	0.7358129999999993	1	0.025277161862527712	2.45	18.0	40.0
30	0.0	1.1290337600357532	1	0.03697104677060133	2.55	12.0	40.0
