	best_action	h	init_light	prob_change	t	v	x
0	0.0	0.6673333333333333	1	1.0	24.68	6.0	40.0
1	0.0	0.5717142857142857	1	1.0	24.32	7.0	40.0
2	0.0	0.5	1	1.0	24.04	8.0	40.0
3	0.0	0.4442222222222223	1	0.9406779661016952	23.82	9.0	40.0
4	0.0	0.4	1	0.7352941176470591	23.64	10.0	40.0
5	0.0	0.3638181818181818	1	0.6026490066225174	23.490000000000002	11.0	40.0
6	0.0	0.33266666666666667	1	0.5060975609756095	23.36	12.0	40.0
7	0.0	2.0	1	1.0	23.490000000000002	2.0	40.0
8	0.0	1.3326666666666669	1	1.0	22.490000000000002	3.0	40.0
9	0.0	1.0	1	0.7861635220125787	21.82	4.0	40.0
10	0.0	0.8	1	0.5479452054794522	21.35	5.0	40.0
11	0.0	0.6673333333333333	1	0.41645885286783063	20.990000000000002	6.0	40.0
12	0.0	0.5717142857142857	1	0.33333333333333337	20.71	7.0	40.0
13	0.0	0.5	1	0.2771618625277163	20.490000000000002	8.0	40.0
14	0.0	0.4442222222222223	1	0.23667377398720696	20.310000000000002	9.0	40.0
15	0.0	0.4	1	0.20661157024793403	20.160000000000004	10.0	40.0
16	0.0	0.3638181818181818	1	0.18309859154929584	20.03	11.0	40.0
17	0.0	0.33266666666666667	1	0.1633858267716536	19.92	12.0	40.0
18	0.4	5.466666666666667	1	1.0	21.82	1.0	40.0
19	0.0	2.0	1	1.0	20.82	2.0	40.0
20	0.0	1.3326666666666669	1	0.6865979381443297	20.15	3.0	40.0
21	0.0	1.0	1	0.4699248120300752	19.68	4.0	40.0
22	0.0	0.8	1	0.35211267605633806	19.32	5.0	40.0
23	0.0	0.6673333333333333	1	0.28020134228187915	19.04	6.0	40.0
24	0.0	0.5717142857142857	1	0.2313915857605178	18.82	7.0	40.0
25	0.0	0.5	1	0.19654088050314467	18.64	8.0	40.0
26	0.0	0.4442222222222223	1	0.17050691244239638	18.490000000000002	9.0	40.0
27	0.0	0.4	1	0.1506024096385542	18.36	10.0	40.0
28	0.0	0.3638181818181818	1	0.13481481481481483	18.25	11.0	40.0
29	0.0	0.33266666666666667	1	0.1211678832116788	18.15	12.0	40.0
30	0.0	0.3078461538461539	1	0.11111111111111112	18.07	13.0	40.0
31	0.4	5.466666666666667	1	0.9652509652509653	19.82	1.0	40.0
32	0.0	2.0	1	0.8547008547008544	19.15	2.0	40.0
33	0.0	1.3326666666666669	1	0.5268987341772152	18.68	3.0	40.0
