	cost	init_light	plan	v	vel	x
0	4.7	1	[0.20000000000000001, 0.25, 0.0, 0.0, 0.0]	0.0	[0.0, 2.0, 3.0, 3.0, 3.0, 3.0]	10.0
1	4.033333333333333	1	[0.050000000000000003, 0.40000000000000002, 0.0, 0.0]	0.0	[0.0, 1.0, 3.0, 3.0, 3.0]	20.0
2	2.2	1	[0.050000000000000003, 0.14999999999999999, 0.0]	0.0	[0.0, 1.0, 2.0, 2.0]	30.0
3	1.2000000000000002	1	[0.050000000000000003, 0.14999999999999999]	0.0	[0.0, 1.0, 2.0]	40.0
4	0.3	1	[0.050000000000000003]	0.0	[0.0, 1.0]	50.0
5	4.4	1	[0.14999999999999999, 0.25, 0.0, 0.0, 0.0]	1.0	[1.0, 2.0, 3.0, 3.0, 3.0, 3.0]	10.0
6	3.7333333333333343	1	[0.14999999999999999, 0.25, 0.0, 0.0]	1.0	[1.0, 2.0, 3.0, 3.0, 3.0]	20.0
7	2.9000000000000004	1	[0.14999999999999999, 0.0, 0.0]	1.0	[1.0, 2.0, 2.0, 2.0]	30.0
8	1.9000000000000001	1	[0.14999999999999999, 0.0]	1.0	[1.0, 2.0, 2.0]	40.0
9	0.9000000000000001	1	[0.14999999999999999]	1.0	[1.0, 2.0]	50.0
10	4.166666666666667	1	[0.25, 0.0, 0.0, 0.0, 0.0]	2.0	[2.0, 3.0, 3.0, 3.0, 3.0, 3.0]	10.0
11	3.5	1	[0.25, 0.0, 0.0, 0.0]	2.0	[2.0, 3.0, 3.0, 3.0, 3.0]	20.0
12	2.833333333333334	1	[0.25, 0.0, 0.0]	2.0	[2.0, 3.0, 3.0, 3.0]	30.0
13	2.0	1	[0.0, 0.0]	2.0	[2.0, 2.0, 2.0]	40.0
14	1.0	1	[0.0]	2.0	[2.0, 2.0]	50.0
15	3.333333333333334	1	[0.0, 0.0, 0.0, 0.0, 0.0]	3.0	[3.0, 3.0, 3.0, 3.0, 3.0, 3.0]	10.0
16	2.666666666666667	1	[0.0, 0.0, 0.0, 0.0]	3.0	[3.0, 3.0, 3.0, 3.0, 3.0]	20.0
17	2.0	1	[0.0, 0.0, 0.0]	3.0	[3.0, 3.0, 3.0, 3.0]	30.0
18	1.3333333333333335	1	[0.0, 0.0]	3.0	[3.0, 3.0, 3.0]	40.0
19	0.6666666666666667	1	[0.0]	3.0	[3.0, 3.0]	50.0
20	2.5	1	[0.0, 0.0, 0.0, 0.0, 0.0]	4.0	[4.0, 4.0, 4.0, 4.0, 4.0, 4.0]	10.0
21	2.0	1	[0.0, 0.0, 0.0, 0.0]	4.0	[4.0, 4.0, 4.0, 4.0, 4.0]	20.0
22	1.5	1	[0.0, 0.0, 0.0]	4.0	[4.0, 4.0, 4.0, 4.0]	30.0
23	1.0	1	[0.0, 0.0]	4.0	[4.0, 4.0, 4.0]	40.0
24	0.5	1	[0.0]	4.0	[4.0, 4.0]	50.0
25	2.0	1	[0.0, 0.0, 0.0, 0.0, 0.0]	5.0	[5.0, 5.0, 5.0, 5.0, 5.0, 5.0]	10.0
26	1.6	1	[0.0, 0.0, 0.0, 0.0]	5.0	[5.0, 5.0, 5.0, 5.0, 5.0]	20.0
27	1.2000000000000002	1	[0.0, 0.0, 0.0]	5.0	[5.0, 5.0, 5.0, 5.0]	30.0
28	0.8	1	[0.0, 0.0]	5.0	[5.0, 5.0, 5.0]	40.0
29	0.4	1	[0.0]	5.0	[5.0, 5.0]	50.0
30	1.666666666666667	1	[0.0, 0.0, 0.0, 0.0, 0.0]	6.0	[6.0, 6.0, 6.0, 6.0, 6.0, 6.0]	10.0
31	1.3333333333333335	1	[0.0, 0.0, 0.0, 0.0]	6.0	[6.0, 6.0, 6.0, 6.0, 6.0]	20.0
32	1.0	1	[0.0, 0.0, 0.0]	6.0	[6.0, 6.0, 6.0, 6.0]	30.0
33	0.6666666666666667	1	[0.0, 0.0]	6.0	[6.0, 6.0, 6.0]	40.0
34	0.33333333333333337	1	[0.0]	6.0	[6.0, 6.0]	50.0
35	1.4285714285714288	1	[0.0, 0.0, 0.0, 0.0, 0.0]	7.0	[7.0, 7.0, 7.0, 7.0, 7.0, 7.0]	10.0
36	1.142857142857143	1	[0.0, 0.0, 0.0, 0.0]	7.0	[7.0, 7.0, 7.0, 7.0, 7.0]	20.0
37	0.8571428571428572	1	[0.0, 0.0, 0.0]	7.0	[7.0, 7.0, 7.0, 7.0]	30.0
38	0.5714285714285715	1	[0.0, 0.0]	7.0	[7.0, 7.0, 7.0]	40.0
39	0.28571428571428575	1	[0.0]	7.0	[7.0, 7.0]	50.0
40	1.25	1	[0.0, 0.0, 0.0, 0.0, 0.0]	8.0	[8.0, 8.0, 8.0, 8.0, 8.0, 8.0]	10.0
41	1.0	1	[0.0, 0.0, 0.0, 0.0]	8.0	[8.0, 8.0, 8.0, 8.0, 8.0]	20.0
42	0.75	1	[0.0, 0.0, 0.0]	8.0	[8.0, 8.0, 8.0, 8.0]	30.0
43	0.5	1	[0.0, 0.0]	8.0	[8.0, 8.0, 8.0]	40.0
44	0.25	1	[0.0]	8.0	[8.0, 8.0]	50.0
45	1.1111111111111112	1	[0.0, 0.0, 0.0, 0.0, 0.0]	9.0	[9.0, 9.0, 9.0, 9.0, 9.0, 9.0]	10.0
46	0.888888888888889	1	[0.0, 0.0, 0.0, 0.0]	9.0	[9.0, 9.0, 9.0, 9.0, 9.0]	20.0
47	0.6666666666666667	1	[0.0, 0.0, 0.0]	9.0	[9.0, 9.0, 9.0, 9.0]	30.0
48	0.4444444444444445	1	[0.0, 0.0]	9.0	[9.0, 9.0, 9.0]	40.0
49	0.22222222222222224	1	[0.0]	9.0	[9.0, 9.0]	50.0
50	1.0	1	[0.0, 0.0, 0.0, 0.0, 0.0]	10.0	[10.0, 10.0, 10.0, 10.0, 10.0, 10.0]	10.0
51	0.8	1	[0.0, 0.0, 0.0, 0.0]	10.0	[10.0, 10.0, 10.0, 10.0, 10.0]	20.0
52	0.6000000000000001	1	[0.0, 0.0, 0.0]	10.0	[10.0, 10.0, 10.0, 10.0]	30.0
53	0.4	1	[0.0, 0.0]	10.0	[10.0, 10.0, 10.0]	40.0
54	0.2	1	[0.0]	10.0	[10.0, 10.0]	50.0
55	0.9090909090909092	1	[0.0, 0.0, 0.0, 0.0, 0.0]	11.0	[11.0, 11.0, 11.0, 11.0, 11.0, 11.0]	10.0
56	0.7272727272727273	1	[0.0, 0.0, 0.0, 0.0]	11.0	[11.0, 11.0, 11.0, 11.0, 11.0]	20.0
57	0.5454545454545454	1	[0.0, 0.0, 0.0]	11.0	[11.0, 11.0, 11.0, 11.0]	30.0
58	0.36363636363636365	1	[0.0, 0.0]	11.0	[11.0, 11.0, 11.0]	40.0
59	0.18181818181818182	1	[0.0]	11.0	[11.0, 11.0]	50.0
60	0.8333333333333335	1	[0.0, 0.0, 0.0, 0.0, 0.0]	12.0	[12.0, 12.0, 12.0, 12.0, 12.0, 12.0]	10.0
61	0.6666666666666667	1	[0.0, 0.0, 0.0, 0.0]	12.0	[12.0, 12.0, 12.0, 12.0, 12.0]	20.0
62	0.5	1	[0.0, 0.0, 0.0]	12.0	[12.0, 12.0, 12.0, 12.0]	30.0
63	0.33333333333333337	1	[0.0, 0.0]	12.0	[12.0, 12.0, 12.0]	40.0
64	0.16666666666666669	1	[0.0]	12.0	[12.0, 12.0]	50.0
65	0.7692307692307693	1	[0.0, 0.0, 0.0, 0.0, 0.0]	13.0	[13.0, 13.0, 13.0, 13.0, 13.0, 13.0]	10.0
66	0.6153846153846154	1	[0.0, 0.0, 0.0, 0.0]	13.0	[13.0, 13.0, 13.0, 13.0, 13.0]	20.0
67	0.46153846153846156	1	[0.0, 0.0, 0.0]	13.0	[13.0, 13.0, 13.0, 13.0]	30.0
68	0.3076923076923077	1	[0.0, 0.0]	13.0	[13.0, 13.0, 13.0]	40.0
69	0.15384615384615385	1	[0.0]	13.0	[13.0, 13.0]	50.0
70	0.7142857142857144	1	[0.0, 0.0, 0.0, 0.0, 0.0]	14.0	[14.0, 14.0, 14.0, 14.0, 14.0, 14.0]	10.0
71	0.5714285714285715	1	[0.0, 0.0, 0.0, 0.0]	14.0	[14.0, 14.0, 14.0, 14.0, 14.0]	20.0
72	0.4285714285714286	1	[0.0, 0.0, 0.0]	14.0	[14.0, 14.0, 14.0, 14.0]	30.0
73	0.28571428571428575	1	[0.0, 0.0]	14.0	[14.0, 14.0, 14.0]	40.0
74	0.14285714285714288	1	[0.0]	14.0	[14.0, 14.0]	50.0
75	0.6666666666666666	1	[0.0, 0.0, 0.0, 0.0, 0.0]	15.0	[15.0, 15.0, 15.0, 15.0, 15.0, 15.0]	10.0
76	0.5333333333333333	1	[0.0, 0.0, 0.0, 0.0]	15.0	[15.0, 15.0, 15.0, 15.0, 15.0]	20.0
77	0.4	1	[0.0, 0.0, 0.0]	15.0	[15.0, 15.0, 15.0, 15.0]	30.0
78	0.26666666666666666	1	[0.0, 0.0]	15.0	[15.0, 15.0, 15.0]	40.0
79	0.13333333333333333	1	[0.0]	15.0	[15.0, 15.0]	50.0
80	0.625	1	[0.0, 0.0, 0.0, 0.0, 0.0]	16.0	[16.0, 16.0, 16.0, 16.0, 16.0, 16.0]	10.0
81	0.5	1	[0.0, 0.0, 0.0, 0.0]	16.0	[16.0, 16.0, 16.0, 16.0, 16.0]	20.0
82	0.375	1	[0.0, 0.0, 0.0]	16.0	[16.0, 16.0, 16.0, 16.0]	30.0
83	0.25	1	[0.0, 0.0]	16.0	[16.0, 16.0, 16.0]	40.0
84	0.125	1	[0.0]	16.0	[16.0, 16.0]	50.0
85	0.5882352941176471	1	[0.0, 0.0, 0.0, 0.0, 0.0]	17.0	[17.0, 17.0, 17.0, 17.0, 17.0, 17.0]	10.0
86	0.4705882352941177	1	[0.0, 0.0, 0.0, 0.0]	17.0	[17.0, 17.0, 17.0, 17.0, 17.0]	20.0
